sw_0,sw_1,sw_2,sw_3,sw_4,sw_5,sw_6,sw_7,sw_8,sw_9,sw_10,sw_11,sw_12,sw_13,sw_14,sw_15,sw_16,loss
1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0.029702687867819308
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0.029733543893119156
1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0.029769493902993834
1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0.030034692535576335
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0.03028755037679575
1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0.030296756759764336
1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0.03030330942927386
1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0.03046977693225382
1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0311637777254481
1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0.031171360822983142
1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0.03153689884814963
1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0.03177579972999721
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0.03215943929072182
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0.03228963056393118
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0.03230853028586085
1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0.03248091447296359
1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0.032536642379535755
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0.0325677840120742
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0.032911133411834284
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0.03321572891832412
1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0.033223934031009004
1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.033363290245653154
1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0.03409766582760117
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0.034139377072557105
1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0.03424430191524452
